2024-05-31 08:20:54,715 - Total number of samples: 875
2024-05-31 08:24:06,584 - Batch [17 / 54], Loss: 11.135027
2024-05-31 08:24:08,264 - Batch [18 / 54], Loss: 13.112403
2024-05-31 08:24:09,946 - Batch [19 / 54], Loss: 13.951476
2024-05-31 08:24:11,654 - Batch [20 / 54], Loss: 13.289786
2024-05-31 08:24:13,348 - Batch [21 / 54], Loss: 9.212936
2024-05-31 08:24:15,035 - Batch [22 / 54], Loss: 10.404265
2024-05-31 08:24:16,725 - Batch [23 / 54], Loss: 16.056854
2024-05-31 08:24:18,421 - Batch [24 / 54], Loss: 11.615976
2024-05-31 08:24:20,108 - Batch [25 / 54], Loss: 9.940466
2024-05-31 08:24:21,801 - Batch [26 / 54], Loss: 13.113918
2024-05-31 08:24:23,502 - Batch [27 / 54], Loss: 12.812828
2024-05-31 08:24:25,200 - Batch [28 / 54], Loss: 15.860516
2024-05-31 08:24:26,912 - Batch [29 / 54], Loss: 12.233080
2024-05-31 08:24:28,612 - Batch [30 / 54], Loss: 13.325981
2024-05-31 08:24:30,300 - Batch [31 / 54], Loss: 9.838276
2024-05-31 08:24:31,978 - Batch [32 / 54], Loss: 10.646722
2024-05-31 08:24:33,653 - Batch [33 / 54], Loss: 12.666438
2024-05-31 08:24:35,322 - Batch [34 / 54], Loss: 10.795755
2024-05-31 08:24:37,012 - Batch [35 / 54], Loss: 10.643317
2024-05-31 08:24:38,708 - Batch [36 / 54], Loss: 13.542189
2024-05-31 08:24:40,390 - Batch [37 / 54], Loss: 11.437203
2024-05-31 08:24:42,080 - Batch [38 / 54], Loss: 11.805837
2024-05-31 08:24:43,751 - Batch [39 / 54], Loss: 12.501523
2024-05-31 08:24:45,425 - Batch [40 / 54], Loss: 9.796163
2024-05-31 08:24:47,107 - Batch [41 / 54], Loss: 14.462202
2024-05-31 08:24:48,790 - Batch [42 / 54], Loss: 14.404415
2024-05-31 08:24:50,483 - Batch [43 / 54], Loss: 10.296213
2024-05-31 08:24:52,152 - Batch [44 / 54], Loss: 12.957620
2024-05-31 08:24:53,843 - Batch [45 / 54], Loss: 11.719299
2024-05-31 08:24:55,523 - Batch [46 / 54], Loss: 11.895066
2024-05-31 08:24:57,206 - Batch [47 / 54], Loss: 10.638214
2024-05-31 08:24:58,876 - Batch [48 / 54], Loss: 13.502346
2024-05-31 08:25:00,544 - Batch [49 / 54], Loss: 17.389437
2024-05-31 08:25:02,245 - Batch [50 / 54], Loss: 11.559200
2024-05-31 08:25:03,953 - Batch [51 / 54], Loss: 10.672624
2024-05-31 08:25:05,655 - Batch [52 / 54], Loss: 9.804152
2024-05-31 08:25:07,364 - Batch [53 / 54], Loss: 13.140672
2024-05-31 08:25:09,100 - Batch [54 / 54], Loss: 12.126059
2024-05-31 08:25:10,554 - Epoch Time: 1.5108434756596882 minutes
2024-05-31 08:25:10,554 - Epoch: 4
2024-05-31 08:25:10,554 - Current Learning Rate: [0.01]
2024-05-31 08:25:10,896 - Batch [1 / 54], Loss: 12.679542
