2024-05-31 10:00:25,330 - Total number of samples: 875
2024-05-31 10:01:43,328 - Batch [33 / 54], Loss: 17.901012
2024-05-31 10:01:43,882 - Batch [34 / 54], Loss: 16.269941
2024-05-31 10:01:44,391 - Batch [35 / 54], Loss: 15.057010
2024-05-31 10:01:44,705 - Batch [36 / 54], Loss: 16.302734
2024-05-31 10:01:45,389 - Batch [37 / 54], Loss: 12.734120
2024-05-31 10:01:45,897 - Batch [38 / 54], Loss: 16.872389
2024-05-31 10:01:46,344 - Batch [39 / 54], Loss: 12.755783
2024-05-31 10:01:46,652 - Batch [40 / 54], Loss: 13.321692
2024-05-31 10:01:47,089 - Batch [41 / 54], Loss: 13.313653
2024-05-31 10:01:47,558 - Batch [42 / 54], Loss: 13.074188
2024-05-31 10:01:48,140 - Batch [43 / 54], Loss: 13.456647
2024-05-31 10:01:48,619 - Batch [44 / 54], Loss: 10.437495
2024-05-31 10:01:49,305 - Batch [45 / 54], Loss: 17.740681
2024-05-31 10:01:49,807 - Batch [46 / 54], Loss: 13.449027
2024-05-31 10:01:50,433 - Batch [47 / 54], Loss: 16.009466
2024-05-31 10:01:50,895 - Batch [48 / 54], Loss: 13.823324
2024-05-31 10:01:51,366 - Batch [49 / 54], Loss: 15.983764
2024-05-31 10:01:51,850 - Batch [50 / 54], Loss: 11.211269
2024-05-31 10:01:52,552 - Batch [51 / 54], Loss: 14.535942
2024-05-31 10:01:53,029 - Batch [52 / 54], Loss: 14.722643
2024-05-31 10:01:53,557 - Batch [53 / 54], Loss: 14.160724
2024-05-31 10:01:54,037 - Batch [54 / 54], Loss: 16.512781
2024-05-31 10:01:54,447 - Epoch Time: 0.4578929583231608 minutes
2024-05-31 10:01:54,448 - Epoch: 4
2024-05-31 10:01:54,448 - Current Learning Rate: [0.01]
2024-05-31 10:01:55,034 - Batch [1 / 54], Loss: 11.926405
2024-05-31 10:01:55,522 - Batch [2 / 54], Loss: 14.832039
2024-05-31 10:01:56,001 - Batch [3 / 54], Loss: 12.481795
2024-05-31 10:01:56,496 - Batch [4 / 54], Loss: 12.829201
2024-05-31 10:01:56,994 - Batch [5 / 54], Loss: 18.708086
2024-05-31 10:01:57,477 - Batch [6 / 54], Loss: 12.721959
2024-05-31 10:01:58,041 - Batch [7 / 54], Loss: 16.110214
2024-05-31 10:01:58,534 - Batch [8 / 54], Loss: 10.541335
2024-05-31 10:01:59,279 - Batch [9 / 54], Loss: 11.857851
2024-05-31 10:02:00,008 - Batch [10 / 54], Loss: 13.513889
2024-05-31 10:02:00,419 - Batch [11 / 54], Loss: 18.203730
2024-05-31 10:02:00,736 - Batch [12 / 54], Loss: 13.735910
2024-05-31 10:02:01,087 - Batch [13 / 54], Loss: 16.717384
2024-05-31 10:02:01,458 - Batch [14 / 54], Loss: 16.786722
2024-05-31 10:02:01,825 - Batch [15 / 54], Loss: 11.608573
2024-05-31 10:02:02,157 - Batch [16 / 54], Loss: 16.903433
2024-05-31 10:02:02,599 - Batch [17 / 54], Loss: 11.166450
2024-05-31 10:02:03,109 - Batch [18 / 54], Loss: 12.881623
2024-05-31 10:02:03,559 - Batch [19 / 54], Loss: 14.006875
2024-05-31 10:02:04,040 - Batch [20 / 54], Loss: 12.140053
